id,text_features,type,source
232170,"Kuno Areng, Bremerhaven Festwoche medal    Festwoche - Breemenhaven KUTTER ASTARTE -SCHIFFERGILDE BREMENHAVEN E.V.",medal,train
2251378,"Photo-Villem Kapp, photo with dedication to Armilde M, 1937   Photos from the collection of Villem Kapi and Juhan Aavik
desse, purchased in 2013",photo,train
4085096,"Metspart, Youth Theater, 1969, in parts: Hedvig - Mari Lill, Gina - Silvia Laidla    TB080321",photo negative,train
2697904,Letter: Folk musicians: Violin: Jüri Saal: Letter to A. Pulst: 16.02.1936   Folk instrumentalists Mo238,letter,train
2521183,killing    treasures in a metal container,coin,train
224392,Uno Uibo sign for 100 years of drama in Pärnu     1878,label/sign,train
2746349,"8. Estonian Rifle Corps. Festive meeting, view of the audience",photo negative,train
198694,"""Ela, Eesti"" (""Estonian flag"") for mixed choir a cappella     Live Estonia (Estonian flag)","script, song/vocal music",train
2748234,8. Estonian Rifle Corps. During the battle firing of corps artillery near Kingisepa. Participants familiarize themselves with the marks before shooting.,photo negative,train
2352234,Medal     On the occasion of the unveiling of the statue of Peter I,medal,train
1887501,"Collection of Songs of the Tallinn Men's Singing Society, volume XVI   Archive library of the Theater and Music Museum: books and sheet music  H. Meri sheet music collection",music sheet,train
3388182,Items to be transferred upon liquidation of the Economic Museum.,photo,train
1968331,"Reproduction photo. ""The Mediterranean roars"" (O. Feltsmann). Estonia 1951. Kalju Vaha, Sophie Sööäär. Black and white framed slide.    Work of ETMM photo lab. Photo by Henno Saarne (?).",slide,train
4085134,"Metspart, Noorsoo Theater, 1969, in parts: Hedvig - Mari Lill, Hjalmar Ekdal - Mikk Mikiver, Vana Ekdal - Erich Jaansoo, Gregers Werle - Heino Mandri    TB080321",photo negative,train
2336029,"quartz fragments   Archaeological excavation of the Uugla settlement in 2005, finds 1-322; 2006 findings 323 - 508. M. Mandel",archaeological find,train
3943729,"The most beautiful Christmas songs. Tallinn 1988     The book is paperback, with paper covers. Issued in Tallinn by the EELK Consistory in 1988. 16 pages. Illustrated. Printed trk. ""Kiir"" in Viljandi. ok",book,train
1838338,Work of ETMM photo lab.  Work of ETMM photo lab. Photographer Henno Saarne (?).,slide,train
2317557,"A shard of earthenware   Found in 1965. About 500 m west of the Keila-Vääna road, from a plowed field near a large split stone",archaeological find,train
1254493,"Mikiver, Mikk: letters: Aslan Haradura  1989",letter,train
198253,"""Spirit of Light"" and ""My God"" for male choir a cappella     Spirit of light, for the evening Torn","script, song/vocal music",train
2913477,"Program, Symphony concert, dir.
Z. Košler, 1971",plan,train
3240030,Aino Tamme's concert,plan,train
1888705,where did you go   Archive library of the Theater and Music Museum: books and sheet music  manuscript reproduction,music sheet,train
3187895,Seal of the Audit Committee of the Transport Workers' Section of the Tallinn Branch of the Union of General Workers and Servants     The Transport Workers' Section of the Tallinn Branch of the General Workers' and Servants' Union Rew Kommisjon All right,seal/imprint,train
2944560,Decoration design for the play Kalevipoeg in the Estonia theater     The shore of the island,design/drawing/sketch,train
4092218,"Annoying, Annoying
Only to go along. Wave one wave ship.
Floating between the continent and the sea.
You are standing in the middle of a closed soap bubble
B: Once upon a time there was a king.
You distant sun.
There is no consolation",audio recording,train
2746358,"8. Estonian Rifle Corps. Reproduction of the scheme ""Military expeditions a.[?]""",photo negative,train
3649157,"Costume design for the character Old Count Moor for the play Robbers. Fr. Schiller, Vanemuine 1983",design/drawing/sketch,train
3648813,"""Kokoro"" for flute and piano, 1971   Avo Sõmera's CV and manuscripts arrived at the museum by post. Arvo Sõmer is a musicologist and composer of Estonian origin. Avo Sõmer (born 1934) is primarily known for his writings analyzing the works of 20th century composers, including Debussy and Tubina.
Although Sõmer worked at the University of Connecticut from 1962 until his retirement in 2000, he has given lectures and presentations in Estonia on several occasions.
His personal archive M524 mainly contains original manuscripts of compositions from 1954-1978. Both choral and chamber music are represented. M524:2/8:3",manuscript,train
3627148,Costume design Lady in a long toilet from the Estonian Theater production Bajadeer,design/drawing/sketch,train
3491363,Summer school,manuscript,train
4294555,"Traviata, Teater Estonia, 1987, in parts: Germont - Vladimir Chernov    TB020322",photo negative,train
205058,"caricature, Albert Üksip     F. Randel ""Deserving actor A. Üksip""",caricature,train
3563659,"Costume design for the character Olga in the play Victim. R. Kangro, Estonia 1981",design/drawing/sketch,train
3402896,"Tallinn Canteens, Restaurants and Cafes Trust. Canteen ""Kungla"", Karjamaa tn. 4, ca 1960 - 1970.   Albums handed over by the liquidation committee of the Museum of Economic History.",photo,train
4040988,"Manuscript, Naissoo, Uno-One far away day - for mixed choir",manuscript,train
3288463,Hiiumaa motif,graphics,train
3690575,Costume design for the actress Paula from the Vanemuine Theater production Tooma dohter. Paula's wedding,design/drawing/sketch,train
2743782,Tankers of the Estonian Rifle Corps go into battle.,photo,train
3186852,"Photo, Eduard Visnapuu, Painting by Friedebert Tugla",photo,train
3394002,Albums handed over by the liquidation commission of the Museum of Economic History.,photo,train
3975681,Telegram with congratulations to N.Goldschmidt from Maria Mihhailova and Oskar Lind,telegram,train
3523623,"Kava, Franz Erika, opera -Demon in Estonia theater",plan,train
3430424,Items handed over by the liquidation commission of the Museum of Economic History.,photo,train
