id,text_features,type
232170,"Kuno Areng, Bremerhaveni Festwoche medal    Festwoche- Breemenhaven  KUTTER ASTARTE -SCHIFFERGILDE BREMENHAVEN E. V.",medal
2251378,"Foto-Villem Kapp,foto pühendusega Armilde M,1937   Fotod Villem Kapi ja Juhan Aaviku kogu-
desse, ostetud 2013. aastal",foto
4085096,"Metspart, Noorsooteater, 1969, osades: Hedvig - Mari Lill, Gina - Silvia Laidla    TB080321",fotonegatiiv
2697904,Kiri: Rahvapillimehed: Viiul: Jüri Saal: Kiri A. Pulstile: 16.02.1936   Rahvapillimehed Mo238,kiri
2521183,killing    aardeleid metallnõus,münt
224392,Uno Uibo märk 100 aastat näitemängu Pärnus     1878,silt/märk
2746349,"8. Eesti Laskurkorpus. Pidulik koosolek, vaade publikule",fotonegatiiv
198694,"""Ela, Eesti"" (""Eesti lipp"") segakoorile a cappella        Ela Eesti (Eesti lipp)","käsikiri, laul/ vokaalmuusika"
2748234,8. Eesti Laskurkorpus. Korpuse suurtüki lahinglaskmisel Kingissepa ligidal. Osavõtjad tutvuvad enne laskmist märkidega.,fotonegatiiv
2352234,Medal     Peeter I ausamba avamise puhul,medal
1887501,"Tallinna Meestelaulu Seltsi Laulude kogu, XVI vihk   Teatri- ja Muusikamuuseumi arhiivraamatukogu: raamatud ja noodid  H. Meri noodikogu",noodid
3388182,Majandusmuuseumi likvideerimisel üleantavad esemed.,foto
1968331,"Reprofoto. ""Vahemeri kohiseb"" (O. Feltsmann). Estonia 1951. Kalju Vaha, Sophie Sööäär. Must-valge raamitud diapositiiv.    ETMM-i fotolabori töö. Foto Henno Saarne (?).",diapositiiv
4085134,"Metspart, Noorsooteater, 1969, osades: Hedvig - Mari Lill, Hjalmar Ekdal - Mikk Mikiver, Vana Ekdal - Erich Jaansoo, Gregers Werle - Heino Mandri    TB080321",fotonegatiiv
2336029,"kvartsikillud   Uugla asulakoha 2005. a arheoloogiline kaevamine, leiud 1-322; 2006 a leiud 323 - 508. M. Mandel",arheoloogiline leid
3943729,"Kauneimaid jõululaule. Tallinn 1988     Raamat brošeeritud, paberkaantega. Välja antud Tallinnas EELK Konsistooriumi poolt 1988.a. 16 lk. Illustreeritud. Trükitud trk. ""Kiir"" Viljandis. korras",raamat
1838338,ETMM-i fotolabori töö.  ETMM-i fotolabori töö. Fotograaf Henno Saarne (?).,diapositiiv
2317557,Savinõukild   Leitud 1965.a. Keila-Vääna teest ca 500 m läänes suure lõhestunud kivi lähedalt küntud põllult,arheoloogiline leid
1254493,"Mikiver, Mikk:kirjad:Aslan Haradura  1989",kiri
198253,"""Valguse vaim"" ja ""Mu Jumal"" meeskoorile a cappella        Valguse vaim,õhtule               Rebenenud","käsikiri, laul/ vokaalmuusika"
2913477,"Kava,Sümfooniakontsert,dir.
Z.Košler,1971",kava
3240030,Aino Tamme kontsert,kava
1888705,Kus käisid sa?   Teatri- ja Muusikamuuseumi arhiivraamatukogu: raamatud ja noodid  käsikirja paljundus,noodid
3187895,Üldtööliste ja Teenijate Ühisuse Tallinna Osakonna Transporttööliste sektsiooni revisjonikomisjoni pitser     Üld Tööliste ja Teenijate Ühisuse Tallinna Osakonna Transporttööliste sektsioon Rew Kommisjon Korras,pitser/templijäljend
2944560,Dekoratsioonikavand lavastusele Kalevipoeg teatris Estonia     Saare kallas,kavand/joonis/eskiis
4092218,"Tüütus, Tüütus
Ainult kaasa minna.Laine üks lainelaeva. 
Õõtsub mandri ja mere vahel.
Seisad kesk suletud seebimulli
B: Üks kuningas oli kord maata.
Sina kauge päike.
Ei ole lohutust",helisalvestis
2746358,"8. Eesti Laskurkorpus. Reproduktsioon skeemist ""Sõjaretked a.[?]""",fotonegatiiv
3649157,"Kostüümikavand tegelasele Vana krahv Moor lavastusele Röövlid. Fr. Schiller, Vanemuine 1983",kavand/joonis/eskiis
