id,type,curie_similarity
232170,medal,"[-0.00495907  0.00286719  0.0099276  ...  0.00335884  0.01469285
  0.01810606]"
2251378,photo,"[-0.00666328  0.00887802 -0.00139791 ...  0.00987823  0.01796561
  0.01135472]"
4085096,photo negative,"[-0.00197684  0.01748836  0.01614383 ...  0.00808602  0.00765351
  0.011217  ]"
2697904,letter,[0.00383565 0.01678649 0.00888231 ... 0.00108933 0.01771803 0.01978607]
2521183,coin,"[ 1.39925284e-02  3.52397445e-03 -1.38233770e-02 ...  1.56370495e-02
 -3.61559773e-03  9.83042046e-05]"
224392,label/sign,"[-0.02786077  0.00976367  0.00730368 ... -0.00075742  0.01626642
  0.00158517]"
2746349,photo negative,"[-0.00204491  0.00870794  0.00380062 ...  0.0053696  -0.01219659
  0.01676917]"
198694,"script, song/vocal music","[-0.00731782  0.00094142  0.02141245 ...  0.00742222  0.015879
 -0.00339315]"
2748234,photo negative,"[-0.00447142  0.01468723  0.00864874 ...  0.00704491  0.01219647
  0.0159464 ]"
2352234,medal,"[-0.00155966 -0.00055665  0.01012148 ...  0.00672748  0.01382742
  0.00569857]"
1887501,music sheet,"[-0.00098659  0.0139405   0.01294273 ...  0.01206733  0.01376165
  0.00508296]"
3388182,photo,"[-0.00660433  0.01124381 -0.00244196 ...  0.0055937  -0.00737052
  0.00580993]"
1968331,slide,[0.00018992 0.01514388 0.00529467 ... 0.00277306 0.02038162 0.01754451]
4085134,photo negative,[0.0004972  0.01324094 0.02530618 ... 0.0007866  0.00937659 0.02216459]
2336029,archaeological find,"[ 0.00766764  0.0172199   0.01382375 ... -0.00866735  0.00816032
  0.011059  ]"
3943729,book,"[-0.00667691  0.01650798  0.02849936 ...  0.00932248  0.02967517
  0.01065693]"
1838338,slide,"[-0.00535115  0.01591361 -0.0046403  ...  0.00527191 -0.00043583
  0.01370417]"
2317557,archaeological find,[0.00992026 0.02715705 0.00764317 ... 0.00448418 0.01080683 0.00183847]
1254493,letter,"[-0.00591579  0.01213206  0.00596743 ... -0.0084746   0.00136509
  0.01436692]"
198253,"script, song/vocal music","[-0.00882776  0.00435524  0.00280734 ...  0.00115389  0.01896889
 -0.00353439]"
2913477,plan,[0.02133178 0.01009826 0.0020977  ... 0.01130676 0.01476745 0.01235961]
3240030,plan,"[ 0.01112428  0.00505206  0.00102571 ...  0.02157437 -0.00175647
 -0.00838313]"
1888705,music sheet,"[ 0.00422835  0.00875302  0.00287142 ... -0.00090599  0.01008408
  0.01187137]"
3187895,seal/imprint,"[-0.00458521  0.00848634  0.00457803 ...  0.00446801  0.00854853
  0.01086864]"
2944560,design/drawing/sketch,"[-0.00215527  0.00862109  0.01877565 ...  0.01736374 -0.00660607
  0.01353941]"
4092218,audio recording,"[-0.01284643  0.00904734  0.01370808 ...  0.00465096 -0.00043113
  0.00144547]"
2746358,photo negative,"[-0.00943324  0.01822043  0.00553354 ...  0.00074495 -0.00237001
  0.00856716]"
3649157,design/drawing/sketch,[0.01872998 0.01292801 0.01892307 ... 0.01552096 0.01047297 0.01829782]
3648813,manuscript,[0.01508916 0.02410215 0.00191146 ... 0.00482411 0.01346885 0.00719934]
3627148,design/drawing/sketch,"[-0.00984059  0.0059127   0.01104631 ...  0.02474523 -0.00670106
  0.01691728]"
3491363,manuscript,"[-0.00742006  0.00525092 -0.01950467 ...  0.0001663   0.01839365
  0.00343228]"
4294555,photo negative,[0.01352796 0.02005037 0.0090078  ... 0.01549769 0.01093572 0.00583951]
205058,caricature,[0.00925134 0.00859053 0.00772031 ... 0.01640857 0.01880052 0.00960502]
3563659,design/drawing/sketch,"[-0.00327615  0.01195127  0.02132338 ...  0.0140491  -0.00345097
  0.01375849]"
3402896,photo,"[-0.00790876  0.01320188 -0.002599   ...  0.00912147  0.00703847
  0.01406742]"
4040988,manuscript,"[-0.01017709  0.00354006  0.0167908  ...  0.0118655   0.00208719
  0.00139923]"
3288463,graphics,"[-0.01008043  0.0053406   0.00854761 ...  0.00588835 -0.00848135
  0.00407944]"
3690575,design/drawing/sketch,"[ 0.0018621   0.01070737  0.00961646 ...  0.0259067  -0.00135217
  0.00472573]"
2743782,photo,"[-0.0107759   0.01185811 -0.00254598 ...  0.01793516 -0.00431961
  0.01097939]"
3186852,photo,"[ 0.00078397  0.00948537 -0.0077372  ...  0.01943253  0.0122325
  0.0065262 ]"
3394002,photo,"[-0.00516324  0.01220316  0.00291365 ...  0.00112841  0.0059091
  0.01325216]"
3975681,telegram,"[ 0.00972784  0.00482227 -0.00066237 ... -0.00089955 -0.00068204
  0.0088254 ]"
3523623,plan,"[-3.00753254e-05  8.87061190e-03  2.26626545e-03 ...  1.24355238e-02
 -4.16388648e-04  1.86579153e-02]"
3430424,photo,"[-0.01254327  0.00945283 -0.00100666 ...  0.01192231  0.00160254
  0.01389981]"
397555,poster,[0.02717856 0.02278037 0.01195406 ... 0.00515002 0.01341072 0.02052489]
4313015,audio recording,[0.0111752  0.02029409 0.00852313 ... 0.00657252 0.00619296 0.0081676 ]
3282300,book,"[-0.0082144   0.00581701 -0.01795067 ...  0.00720135 -0.00188285
 -0.00756807]"
2782754,seal/imprint,"[ 0.00433877 -0.00262757  0.00504475 ...  0.00524579  0.01203446
  0.01695298]"
2012029,plan,"[-0.00322405  0.0075391   0.00490484 ... -0.00376022  0.01592675
  0.00798669]"
2338531,poster,"[-0.0011591   0.01421386  0.02297094 ...  0.01208553  0.03049041
  0.0106979 ]"
3100451,design/drawing/sketch,"[-0.00677892  0.00994429  0.02717172 ...  0.01567743  0.00496281
  0.01351116]"
4114904,"manuscript, musical composition","[ 0.00786389  0.00621992 -0.01172793 ...  0.00743768  0.00329263
  0.00254324]"
3719739,book,"[ 0.0122375  -0.00083897 -0.01897559 ...  0.00394446  0.00509969
 -0.00361722]"
2931780,document,"[-0.00300971  0.01726831  0.00830616 ...  0.01496772  0.01084698
  0.00920237]"
2040739,photo,"[-0.00081411  0.02099716  0.00059411 ...  0.00184319  0.00159379
  0.00962449]"
3202665,seal/imprint,"[-0.0008476   0.00030255  0.00505265 ...  0.0076755   0.01565237
 -0.00170815]"
3965992,manuscript,"[-0.00317177  0.0117494   0.00294907 ... -0.00033787  0.0123589
  0.01159936]"
