,id,full_nr,name,ks,material,commentary,event_type,location,start,end,before_Christ,country_and_unit,participants_role,participant,parish,text,class,technique,parameter,unit,value,museum_abbr,musealia_mark,musealia_seria_nr,musealia_queue_nr,musealia_additional_nr,collection_mark,collection_queue_nr,collection_additional_nr,element_count,legend,is_original,initial_info,damages,state,color,additional_text,type
0,232170,ETMM _ 12150:115 Aj 118:44/M20,"Kuno Areng, Bremerhaven Festwoche medal",118.0,metal,,festivals,the city of Bremerhaven,1979,,ei,Germany,participant,"Areng, Kuno",,,,,diameter,cm,4,ETMM,_,12150.0,115.0,,Aj,44.0,M20,1.0,,1.0,Festwoche - Breemenhaven,,good,grey,KUTTER ASTARTE -SCHIFFERGILDE BREMENHAVEN E.V.,medal
1,2251378,ETMM _ 12584:19 M 102:1/13:13,"Photo-Villem Kapp, photo with dedication to Armilde M, 1937",102.0,photographic material,,filmmaking and photography,,1938,,ei,,,,,,,,,,,ETMM,_,12584.0,19.0,,M,1.0,13:13,1.0,"Photos from the collection of Villem Kapi and Juhan Aavik
desse, purchased in 2013",,,,good,,,photo
2,2070466,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,52.0,,1.0,,,,,good,,,photo
3,4085096,ETMM _ Fk 41691/k,"Metspart, Youth Theater, 1969, in parts: Hedvig - Mari Lill, Gina - Silvia Laidla",41691.0,photographic material,,theater,,18.09.1969,,ei,,liaison organization,Noorsooteater,,,,,film frame,60 x 60 mm,1,ETMM,_,,,,Fk,,k,1.0,,1.0,TB080321,,satisfactory,,,photo negative
4,2697904,ETMM _ 9424 Mo 238:1/62:05,Letter: Folk musicians: Violin: Jüri Saal: Letter to A. Pulst: 16.02.1936,238.0,paper,,,,,,,,,,,,,manuscript,,,,ETMM,_,9424.0,,,Mo,1.0,62:05:00,1.0,Folk instrumentalists Mo238,1.0,,,satisfactory,,,a letter
5,2521183,AM _ 29147:60 M,killing,,trillion,,finance,,1500,1550,ei,,,,,,,,weight,g,"1,06",AM,_,29147.0,60.0,,M,,,1.0,,,treasures in a metal container,,unspecified,,,coin
6,224392,ETMM _ 11008 Aj 110:2/T60,Uno Uibo sign for 100 years of drama in Pärnu,110.0,copper,,theater activity,the city of Pärnu,1978,,ei,Estonia,liaison organization,Teater Endla,,,,enamelling,thickness,cm,0.1,ETMM,_,11008.0,,,Aj,2.0,T60,1.0,,1.0,,,good,multicolored,1878,label/sign
7,2111663,,,,,,,,,,,,,,,,,,,,,ETMM,_,6567.0,,,M,1.0,95:01:00,1.0,,1.0,,,good,,,a letter
8,2746349,AM N 3093,"8. Estonian Rifle Corps. Festive meeting, view of the audience",3093.0,movie,,portraiture,,,,,,,,,,,black and white photography,negative format,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,,good,,,photo negative
9,198694,ETMM _ 9625 M 22:2/69:1,"""Ela, Eesti"" (""Estonian flag"") for mixed choir a cappella",22.0,paper,,music,,,,ei,,,,,,,handwriting,,,,ETMM,_,9625.0,,,M,2.0,69:01:00,1.0,,1.0,,,satisfactory,multicolored,Live Estonia (Estonian flag),"script, song/vocal music"
10,2748234,AM N 4219,8. Estonian Rifle Corps. During the battle firing of corps artillery near Kingisepa. Participants familiarize themselves with the marks before shooting.,4219.0,movie,,shooting exercises,,mai.44,,ei,USSR,the author,"Lukin, E.",,,,black and white photography,negative format,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,,good,,,photo negative
11,2352234,AM _ 13752:78 M 422,Medal,422.0,copper,,preparation,the city of St. Petersburg,1782,,,Russian,the author,"Leberecht, Karl",,,,,diameter,mm,64,AM,_,13752.0,78.0,,M,,,1.0,,,,,good,,On the occasion of the unveiling of the statue of Peter I,medal
12,1887501,ETMM _ 5567 Ar 782,"Collection of Songs of the Tallinn Men's Singing Society, volume XVI",782.0,paper,,societies,,,,,,,,,,,printing,print volume,lk,14,ETMM,_,5567.0,,,Ar,,,1.0,Archive library of the Theater and Music Museum: books and sheet music,1.0,,,satisfactory,,H. Meri sheet music collection,sheet music
13,3388182,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,30.0,,1.0,Items to be transferred upon liquidation of the Economic Museum.,1.0,,,good,,,photo
14,2124034,,,,,,,,,,,,,,,,,,,,,ETMM,_,6567.0,,,M,1.0,109:07:00,1.0,,1.0,,,good,,,a letter
15,2070690,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,160.0,,1.0,,,,,good,,,photo
16,1968331,ETMM _ Fk 714/d,"Reproduction photo. ""The Mediterranean roars"" (O. Feltsmann). Estonia 1951. Kalju Vaha, Sophie Sööäär.",714.0,photographic material,Black and white framed slide.,,,,,,,,,,,,,width,cm,36,ETMM,_,,,,Fk,,d,1.0,,0.0,,,satisfactory,,Work of ETMM photo lab. Photo by Henno Saarne (?).,slide
17,4085134,ETMM _ Fk 41728/r,"Metspart, Noorsoo Theater, 1969, in parts: Hedvig - Mari Lill, Hjalmar Ekdal - Mikk Mikiver, Vana Ekdal - Erich Jaansoo, Gregers Werle - Heino Mandri",41728.0,photographic material,,theater,,18.09.1969,,ei,,liaison organization,Noorsooteater,,,,,film frame,60 x 60 mm,1,ETMM,_,,,,Fk,,r,1.0,,1.0,TB080321,,satisfactory,,,photo negative
18,2336029,AM _ 36267 A 1026:260,quartz fragments,1026.0,quartz,,,,,,,,,,,,,,,,,AM,_,36267.0,,,A,260.0,,1.0,"Archaeological excavation of the Uugla settlement in 2005, finds 1-322; 2006 findings 323 - 508. M. Mandel",,,,good,,,archaeological find
